lat_bin,lon_bin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
19,-156,146980.57793355017,133369.44260071154,122607.32805414782,149656.20078887886,170878.12940452198,250464.16939325677,315472.4389074457,342932.57780214376,308672.8873968561,285104.33636774204,262148.73641198425,220203.206887356,228746.07870840604,241995.9310428415,269087.28963670426,357590.8664297059,369353.70964055037,388604.82414074603,399605.78655039996,407803.65760896826,427252.56764630566,505915.18272137205,622704.5253381332,620578.7223484898,627390.4938605564,620827.8968744043
20,-157,224180.52655283155,251329.0731000819,280678.511265535,321184.90737159946,398956.27259522525,499881.3225217387,586703.1105513362,604637.4691918299,570169.7674268781,518204.0908058967,491558.40474825725,476960.61723978806,476942.8188710017,522769.5881282234,596211.6207013181,648268.754061473,693736.8313608065,729802.4219158541,745694.7101812708,764143.9755022345,801794.4598422204,927392.9531603204,1138117.6383613974,1171833.6463675674,1209590.505833983,1180730.518443087
20,-156,,,,,,,,,,,,,,,,341249.91694357793,371909.5235336214,396961.5450461991,458738.85148851364,471822.1036191713,497750.1926491636,580718.62307007,694666.9375426266,708405.9136653376,710054.0162509783,703220.3453312394
21,-160,163188.22859667853,178660.22852311507,193352.60931023504,219936.99721316062,282269.1301070348,370399.06890484673,436963.82022989,432895.00719830475,421876.3357654732,391296.4701474551,378774.41764315974,374170.8750492825,382575.8942849795,422458.66543172614,467791.204787216,499910.622653279,519617.9435988499,544181.3690457608,576198.3398127012,626110.1039397442,668873.907196562,768222.8639499116,917867.4111641931,967846.020517103,1004469.640076532,993254.3982153466
21,-159,233657.1490403849,241148.23082736056,257618.3425724602,302084.9354280809,369679.8417129744,485569.1133349033,595438.9773945288,618444.3493616836,593301.6653116897,510967.16041248385,494725.6657363425,502335.25589274126,488317.26502666686,526319.1875279873,563961.6905297753,595505.2221356672,639820.5568668699,684800.3351721572,733682.0938755106,747194.9249347722,765792.7818977333,871138.7240067438,1020146.0150114475,989053.2485763222,993721.551403202,991771.5808028998
21,-158,308165.5541517217,325067.2414267162,346619.1140062127,395110.38191304397,469275.83333809825,574827.8648014433,677589.78972389,695429.1160878086,696535.9930000505,629752.763305249,614824.326793357,623546.9786466522,613720.8320263866,646796.0250444816,698821.3646013372,731701.1938455857,757960.3384923841,798286.4012249021,811040.2573567447,817713.5467505287,829140.7657929795,924744.92024284,1079655.9347184345,1056558.3298933364,1071931.0352050543,1073141.6156935643
21,-157,178695.1211447684,192742.83622118676,192151.02900200296,202806.3988046116,252770.112807491,314388.6862095878,366513.0167096033,392896.0859129123,369461.8679772341,325434.0862245837,294993.4865002954,292430.27976374235,277701.0212197604,291374.0539158483,307252.5421710221,321029.9101501983,333815.5302994626,349091.9717437002,347306.1807100658,365659.0847346319,407964.9246466395,418980.7535215894,478483.0103021969,467309.94197439856,465541.7610387957,435327.23397038894
22,-160,235797.77872038787,263120.9565186178,287616.3733119863,328696.98848346015,406517.94541637384,530103.6692548242,612674.9528361213,598773.7668381311,579848.3466816887,534251.9307531469,511754.93207942345,503805.6266117941,515256.67270061607,577016.117052804,638502.6958033985,689259.324588973,732399.7375777678,766024.2641293912,820269.9509282884,864926.7639957479,902381.2022513534,1065840.898936745,1314789.9902227,1372904.8816311595,1458449.9234194267,1435106.5193602343
24,-82,,,,,,,,,,,,,,,,,517677.36991438345,544703.9114588059,557843.2427150185,570736.775916124,602976.9714001603,715906.1542252998,933520.8072679158,977486.1173140865,996279.0006430708,953744.6616728524
24,-81,,,,,,,,,,,,,,,,,663166.9272559282,682054.09502412,710915.2838883075,638262.3054190776,673091.9584257179,845747.2806268055,1154499.0643246055,1185265.5553084346,1202477.3183994452,1176018.8835317167
25,-98,,91638.66116531484,90401.36654780118,93419.67628337389,100132.26821379348,109102.26335632021,113370.37018306402,114502.96382494713,114374.71674737014,112056.78618101259,113920.73203553054,110747.03260313347,106926.97424735095,105964.69030083639,105778.69714025165,108944.09746986767,110498.92183410894,113964.68995976605,115879.76246824469,113702.51426486834,122703.39901547825,145019.25776755906,168929.85900565013,183884.6123289133,192045.86943592923,194456.19461119254
25,-82,205019.50602159952,243825.89707699246,271514.27126684773,303022.4288730015,367710.247155333,502230.5088293841,573847.5023727125,512445.53952451877,430189.18461695185,355278.1023046835,322649.8150841381,308317.8177129066,306984.8208098445,332750.7047135129,372563.8754989939,408502.8130766094,438133.51830341946,436791.4388113695,431994.39028974867,441680.6557645604,464150.38812397566,583856.868441903,722812.0247675348,744997.0343414452,752595.7407643425,701136.010325171
25,-81,172529.38564861132,190410.3131746278,218285.41330919656,254607.47715825908,298136.05199539417,372503.1461820294,456865.9336211554,471223.5293295046,388762.0964698831,286558.6015031266,256838.97920504407,241344.80725259532,248778.48868559432,289068.46889064205,333072.44433015946,371814.3146406008,408141.07174084825,426462.16230754135,446836.56530589855,461898.3055938806,489914.7880430596,568628.9344699216,724872.4793089641,774339.714710361,829074.8374047538,824804.2117065752
26,-100,,,,,,,,,,111765.89686811116,112617.95589285984,110339.95434999024,117817.28203081145,120294.9578246489,125450.82615759393,131673.75353601502,132612.59293311427,139022.21640265902,140965.4489601467,145106.88599936903,155475.74851124806,169927.7922344572,171555.61906946756,150358.47080370522,142187.32066152754,133955.422633568
26,-99,,,,,,,,80603.0157881617,79941.2617027015,80888.15723676409,82596.81580152283,82449.83718578296,81379.39488378474,82909.99236170984,87242.70597485053,91816.96221593834,96806.31008064862,99335.17022422749,103532.57130624162,108002.42962984722,118502.95180370017,136851.3111272673,158006.88062283397,169582.41031117603,177413.56063944296,176692.9294203315
26,-98,,116952.51237576343,118508.94609304483,121345.45989362767,131861.8973032906,144253.8012519301,153866.9385252823,119332.12211861352,119412.73939526163,120137.20468084213,119153.85377331065,116768.89271163897,107891.72182167924,106767.8478740978,107132.6162663436,112048.94425090657,114867.44616384344,117339.7507818024,119983.14949467762,127407.88798748661,136881.90313185612,159877.23798287273,179555.01060773808,182997.90307033475,186967.4331907924,184660.66837291615
26,-83,187299.46574169386,213005.21093296862,244697.54841001227,279403.68293692893,318403.1316989124,384517.6638559556,443365.6286287602,400258.98724090745,326641.42453735246,276731.02781399555,266576.66150139016,257187.1673818671,262470.88927194686,286192.66917459306,308663.65972105094,335587.08012986317,361809.38160830433,378020.4528447781,402284.1651376595,420183.94425777753,441194.18100354477,556340.0328413941,763195.3868164319,734937.8528739394,706306.3909258619,646275.2923726282
26,-82,165918.46710543183,183660.6972630033,201420.7892008257,223341.36868781756,251746.9920702896,320204.87931926985,398296.4581483281,368411.7478468012,295670.31139692717,234019.50104533305,211403.32757003882,199841.40480967166,202406.40662754682,225376.35222220738,254845.57186053557,286520.046297897,315132.55810905475,324570.9214774528,334444.805272827,345853.0977361626,358686.90628202213,440596.80891911575,602145.2028601562,622900.2693489377,628541.1299857065,589818.136004894
26,-81,172880.93796390112,194855.0339103702,224993.35298839465,255360.46953660008,294896.94589046505,363093.7041953351,425477.31633764633,404162.5470562197,328084.8839790506,267638.4658362471,256385.38684931234,240405.91834172758,241031.86141690658,271539.83055542625,309305.52765312564,337743.5168859189,358716.7433257453,378931.6030246134,402896.5456290553,419627.886373089,441597.34141428483,524246.51810397825,689221.0533583808,721394.1796059294,744490.2186202849,729778.278903972
27,-100,,,,,,,,,,130801.3983158815,128456.41659114734,125733.78715593468,127067.61723695547,131805.49182633034,137546.95349970364,145111.5162313594,151070.27538636714,153393.6150500292,159029.78220394888,166177.55173497275,177983.48964614776,192498.68769375054,203308.4072403893,208556.54175154783,203976.094453341,205968.1813280093
27,-99,,,,,,,,,,164342.2699910561,158262.333082521,156845.89058210587,155570.27177853818,158320.76897335052,159132.10674769082,169908.31387397152,141317.1132052459,139765.24168539574,128214.78582205393,130508.81808469238,136942.20307045593,139432.33812292534,122408.49003989446,107816.53607305627,103332.85385214769,101954.93268228804
27,-98,,,,,132308.3424995628,138956.7831452126,147806.29158609555,155868.56334556645,144009.1034641224,134072.62592646602,129791.02820449979,126246.65406454267,124915.2531721131,127714.82941447217,134792.7002998783,147320.40256988734,157781.14675659838,163247.96996914412,166057.91005046997,172192.92318116562,184449.99932582636,202912.80359069642,223005.552213068,219362.8068053218,217920.77198777508,211555.7790789391
27,-83,137907.69660428714,153887.13445453916,171461.09750121683,192327.68321506554,219499.22436426382,270950.3166344678,322209.718931419,304853.01586668415,253947.4272038409,208982.84037297315,195100.811432345,179096.2933641733,183761.48702146378,207550.5473786173,230625.59151883173,249720.59673811408,272690.45746772154,290481.1438489614,307184.9258777495,320319.6902098492,340343.9122759578,413464.69521364785,539354.4317187505,551258.2255638841,552776.8245756989,520260.584539072
27,-82,82929.09804911427,87866.23091383003,92336.46818084123,101838.03896365293,107005.29044867754,131177.8495197574,162507.7121977962,166972.88589365155,146895.1455443233,121625.99077657468,108059.61242265474,96617.65044394771,94597.1316390148,100025.3063878767,107997.91723861452,116893.5715792982,125822.2111596561,137354.7342089696,152971.60281694616,164973.18043279575,178632.89385056484,211638.25712355875,262300.9793216565,272739.7445163651,281862.8081689446,278015.97349544463
27,-81,117641.92534707325,125207.45586552582,138576.464283439,158004.13280706882,188337.02513191596,238078.84865477696,280051.85640802665,258336.026798707,209735.67457451363,167315.1036430431,153347.4775250759,142954.01112125782,141610.76790780536,153742.8011103763,170369.25646979013,187230.33479283273,208854.33813615105,228049.45545346654,247452.78781134498,259843.50848039315,273670.4646638969,326041.33796458575,415591.89639659866,433567.16948483983,442106.224148201,428239.4715137206
28,-101,,,,,,,,,,130445.85516348916,130532.87979998674,129021.96604378428,133048.66272526537,140304.63625061692,151555.81813439578,163310.01921902178,164379.85212747098,163040.3611329545,162624.3877611026,154989.11860350615,159883.7621688319,176512.3371497069,192281.45063512409,185367.86133090858,199283.7090923159,215842.65897594567
28,-100,,,,,,,,,,,,,,104659.050245968,108785.88541082836,83544.2554477676,84084.0982672966,83856.35091515236,85613.73111785103,88892.17395960045,93416.7690534361,100770.37702475868,135157.8742611904,125949.23595930506,119672.03794497767,112774.04023246618
