lat_bin,lon_bin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
19.0,-155.75,,,,,,,,,,,,,,,,,233291.98274956012,243720.98269452993,256177.66733182044,263506.4311914265,279992.4239513916,331347.85336211737,410920.2228241539,408762.78927565744,417076.6291124905,411415.53421436914
19.0,-155.5,,,,,,,,,,,,,,,,,,,191784.32092094485,197065.75640772088,212057.9811840736,244929.99607953045,305978.3788761248,310486.4292189526,318658.0372961002,299675.07488174154
19.25,-156.0,,,,,,,,,,,,,,,,248202.95580727104,272168.2851463324,291985.32495304855,301211.0481766012,306628.2167788928,328111.4817501065,392426.11417832744,482539.88417893625,477403.03765032534,471347.7660718811,458113.54673967307
19.25,-155.5,,,,,,,,,,,,,,,,185681.2470001456,203376.31284813987,221628.8855692488,234613.86156027528,240609.2645720681,251875.95381162924,291914.06071212894,358599.25988142256,362552.52349821414,366269.63411685295,360852.3183758208
19.25,-155.25,,,,,,,,,,,,,,,,164896.67589009163,170747.56356090234,190098.49458206107,205689.44855280625,207733.50743746705,216056.29553134507,246004.95789606345,307299.83802033024,305881.11268145154,304074.6180781292,293600.8986949178
19.5,-156.0,,,,,,,,,,,,,,,,607606.9988295857,642412.5195074962,663622.7144358417,689409.1406639041,684903.1078393734,705464.9651659338,853352.4334696208,1067559.6903570485,1073042.8901537396,1108866.3498148562,1094977.5428712214
19.5,-155.75,,,,,,,,,,,,,,,,455653.98621382535,494046.7669927975,515156.47186684696,536213.8615933516,545571.9471356844,561483.7199453554,670656.9128418864,826328.5846327599,832053.1736286787,813256.421402081,778636.0744735586
19.5,-155.25,,,,,,,,,,,,,,,,242563.26879698478,257862.14941019355,273254.00318475196,270887.45799644757,281890.54636208416,296890.35579553375,340292.14618184057,415602.69035281375,418260.380590435,422360.6946419329,417783.21002003865
19.75,-156.0,,,,,,,,,,,,,,,,433466.2555438429,460612.89462132193,479575.70243112097,504563.2388863244,512509.1367630879,539567.0955665977,646415.308808665,836709.5373636425,851807.9576509553,890655.9039469502,891057.6335851556
19.75,-155.75,,,,,,,,,,,,,,,,570677.434540141,601702.4130273919,645981.6674802349,690328.9309857158,703578.6515464294,737712.3013422833,891945.701022579,1121770.0185785056,1107349.2243443837,1121122.701202627,1123823.3050860576
19.75,-155.5,,,,,,,,,,,,,,,,,,,390376.45697627624,396089.58350684744,417228.14136342827,478912.99996182503,580096.6253638889,573042.5356281499,581987.9854677573,580029.0810630294
19.75,-155.25,146980.57793355017,133369.44260071154,122607.32805414782,149656.20078887886,170878.12940452198,250464.16939325677,315472.4389074457,342932.57780214376,308672.8873968561,285104.33636774204,262148.73641198425,220203.206887356,228746.07870840604,241995.9310428415,269087.28963670426,289608.03811102733,307240.519135136,316707.7458266674,445603.62245688157,459425.2659629557,482499.8062497556,576575.6961314522,693785.1829783581,682128.9094888299,680317.4421423223,679813.072072508
20.0,-156.0,,,,,,,,,,,,,,,,,,,480826.74809977977,495809.48400114756,522113.65276573144,608529.7546071592,727419.6887145636,747741.0749919692,748697.5274120774,740266.0414838151
20.0,-155.75,,,,,,,,,,,,,,,,341249.91694357793,371909.5235336214,396961.5450461991,414563.05826598144,423847.3428552188,449023.2724160279,525096.3599958918,629161.4351987527,629735.5910120746,632766.9939287804,629128.9530260878
20.5,-156.5,273188.0290186918,302902.5725260139,338563.164044708,379526.4672525423,464762.90031171055,580560.3091213672,668382.705633712,667019.6540257065,631037.7466285443,575767.1927466384,544504.7325152138,527626.8692653261,527695.7380196357,582404.9697772688,662314.5101807951,701401.3806205199,728563.963273142,769850.0844726663,812984.0626495711,838441.1738872231,878510.1200637361,1031058.4705411647,1293225.7863997275,1316952.0469084918,1352204.561431514,1328854.9449612699
20.5,-156.25,,,,,,,,,,,,,,,,,,,553425.2028003127,555614.1632810986,586194.5099740584,680207.36800131,806550.3071793313,831362.8389819224,837600.5952065337,808925.8954774131
20.75,-157.0,104861.99513051004,113129.9001239594,119165.19752656703,138968.22390161923,173220.1507271908,226823.8406533919,297228.25009414204,327119.3274177211,316731.73797706614,287489.5763727384,268264.55776903447,261387.53456639417,258463.8810848,297225.4557684232,376343.30306967464,445055.0481238095,499816.36487067817,507900.0789801406,508050.4257135948,519363.5650688673,549986.7195439517,620015.3021104045,764419.3521870789,804036.2410448905,817038.3029885035,725682.6843346386
20.75,-156.75,255566.72357438278,289694.6497221393,322126.09527324786,367049.0402537908,457982.73086184205,571702.4786951276,678038.5383573934,707746.5548287923,660336.4577633282,597915.9580054056,566355.1769406805,549670.0317579496,546327.5151946298,589868.8136406639,657256.9229210657,714016.929369577,762280.41213695,808707.4695589251,858262.8386622055,884592.3539740071,932918.9763302854,1064410.77052155,1296671.4703705083,1348988.951419818,1406446.3107936762,1356427.3375959513
20.75,-156.5,195033.4333505136,221517.91592873048,252024.30119798248,292395.88266079646,361464.7666605702,456005.4137421657,535850.2930515158,554154.868707915,524485.5512341313,479557.8464161704,457731.0922381105,448231.844144502,452769.4613360897,497707.58976391976,563622.0273221291,611906.4176481803,664297.2057346697,702551.2977320547,742955.4716756638,764192.6982821301,804141.4508971524,923528.2505929321,1121231.0384658813,1143796.899667606,1196527.5913154269,1186709.816093663
20.75,-156.25,270152.9386072841,299083.5654942798,329489.98163338896,381357.2794477206,487500.7403010205,599566.2451827697,682706.3777311251,702620.871476005,658591.1063786978,590307.4001277321,560847.9893391611,531968.6861116412,527666.5983174151,570030.5012579632,659552.3350720807,722807.8655047127,769234.7493523872,795552.7170031999,824111.2556482557,827816.8761035291,846480.823424694,1012183.627587264,1266719.0953094475,1319664.6879894235,1334381.64174813,1342002.5912233882
21.0,-157.25,,,,,,,,,,,,,,,,,598506.3452240321,612378.6854533873,478921.3693490821,507527.5939375947,537541.200164134,549896.7803309772,617442.8725740954,629312.2928581927,626253.1707173546,585589.4935472249
21.0,-157.0,178695.1211447684,192742.83622118676,192151.02900200296,202806.3988046116,252770.112807491,314388.6862095878,366513.0167096033,392896.0859129123,369461.8679772341,325434.0862245837,294993.4865002954,292430.27976374235,277701.0212197604,291374.0539158483,307252.5421710221,321029.9101501983,333815.5302994626,349091.9717437002,347306.1807100658,365659.0847346319,407964.9246466395,418980.7535215894,478483.0103021969,467309.94197439856,465541.7610387957,435327.23397038894
21.25,-158.25,210535.25276397346,213942.2742787275,224832.91887716192,261128.71309008377,315486.4900277347,403926.3367455729,488368.7141787861,494502.58093816164,470220.2554143029,422852.25715024193,414461.7601702304,410757.81962771626,411561.6198690399,440164.8920435291,469175.4128580989,496444.90799706173,533603.2462200604,571835.4263796423,606237.5248288121,611182.514995236,626605.4064440045,713380.2265754389,827304.2427259805,806569.0980529835,808735.2361240588,792354.7809170466
21.25,-158.0,315582.0433336507,331695.7686267634,353789.7333536446,402885.07117964537,474340.64302478335,574387.3393214629,672411.385614943,685509.4984335235,692043.4149569775,632922.2492409267,622127.0284291044,630113.2894210104,624004.4526397334,660321.1719471931,712541.3790796775,746609.6451876407,780779.34170145,822248.815604006,853762.4485902886,854772.3878398784,862540.0748698263,961494.2586448702,1121650.152580099,1094993.45793067,1109122.2456859122,1116342.0373144343
21.25,-157.75,365426.87308463606,384503.00564344577,404641.5426149613,454178.26122694113,538173.1448619466,649274.3106389334,753561.2960895349,757548.5546165493,742179.7428952907,691878.7684600744,696885.7220605408,690717.7014047466,670376.6211153909,697849.2127890267,749811.1935559885,784248.1367143507,821527.9754238606,853540.2307381558,875249.1446943672,876816.5987452012,882891.5475789307,999788.350673344,1208448.314382072,1195047.2192317327,1227841.8940277905,1214014.539637277
21.5,-158.25,256779.04531679626,268354.18737599364,290403.7662677585,343041.157766078,423873.1933982141,567211.8899242337,702509.2406102717,742386.1177852055,716383.0752090765,599082.0636747258,574989.5713024545,593912.6921577663,565072.9101842938,612473.4830124456,658747.9682014518,694565.5362742727,746037.8675136794,797765.2439646721,861126.6629222091,883207.3348743083,904980.157351462,1028897.2214380488,1212987.7872969143,1171537.399099661,1178707.866682345,1191188.380688753
21.5,-158.0,249868.93795754842,268835.2505181627,288925.4223121108,334477.68518968986,414567.9388294338,539366.7438026201,660317.6529768561,704047.8674405788,691684.4302247223,586011.8169851257,544582.822616776,563696.3741701719,544258.4550284973,567168.8435613632,618446.3922106499,645793.9170429832,674764.0055074709,721286.7578947386,774106.4927575886,795019.6328022605,814467.9214070397,927649.9213753981,1078389.404512127,1047196.3915923769,1068049.6961141035,1073679.528311398
21.75,-159.75,151303.73756222034,165150.45176218633,179093.2014105632,204834.7507632922,264689.60342986375,341116.18056722166,408877.4159868909,390956.4607760131,374802.58326263126,346426.7343842353,336282.2355935215,332730.55194436904,340982.1613638737,376961.55128988903,415388.6359206464,446781.76720863464,467133.4211147886,491107.0138249223,520196.0659875441,541885.6569099819,577550.2531938147,663418.1797486629,798718.690229685,844949.2282233586,883462.5845330154,867826.088526493
21.75,-159.5,181014.96514836577,198924.89366450818,214741.72115974285,242590.36688796335,308638.4201227914,414323.4014112842,479093.4265943887,495802.8268317422,492486.964519736,458601.07379228494,442512.69071761717,436331.3597066527,444966.49366663815,490704.33664448175,546395.0580870702,579603.9058202455,598344.7273249419,623792.9018770186,660201.7505504368,710334.5509695065,760197.5611993093,873027.5481511602,1037016.1320987012,1090742.8128108473,1125476.6956200488,1118682.7079042003
22.0,-159.75,133272.77312643218,147401.9460048389,158844.55721924332,179633.07891606344,231873.2502535251,325035.9936117996,382062.0342991496,353052.07131609967,336094.64522526175,309614.031384094,300129.8187828782,302644.5523054769,315232.2554033022,358869.3912430145,408465.1136488445,436262.7318825098,461817.9202335747,479246.6676933256,511486.2928397175,833051.2214644123,865760.6938273782,1021447.3600767421,1260098.9217224391,1317343.7969862113,1393863.9071976112,1349664.4769850718
22.0,-159.5,269972.78058503976,301693.9600232108,330540.3120095672,378384.958339259,464732.8438039901,598459.5611358323,689545.9256817786,680680.9986788082,661099.5805004976,609131.2305428312,582296.6365116052,570859.3180472333,581931.4784663874,649731.6923227339,715181.8898549165,773591.522157794,822593.6766924988,861616.7962747464,923197.836957812,888833.4208942495,929846.5835693347,1099136.0530817471,1355808.2915978953,1414575.6951148706,1506889.435585788,1499188.0511416057
24.5,-82.0,,,,,,,,,,,,,,,,,582933.4421974078,617095.1527927788,637907.9043061447,651823.1381430321,691868.021642785,790242.6816912339,1007303.2207652576,1062591.9832581503,1099473.0675023042,1049852.686183944
24.5,-81.75,,,,,,,,,,,,,,,,,531653.4881063281,551697.2780339277,566775.8864585115,590016.3229231125,631213.4139863908,768178.2106772062,1015641.035207197,1049284.8804554103,1072080.2799794397,1027316.8397691312
24.5,-81.5,,,,,,,,,,,,,,,,,377508.9108818597,403448.6935664483,412544.4646027915,417928.0247817355,449415.9829066209,543485.1053735174,720487.3162550713,759370.5863778597,769811.0285020112,737457.016501051
24.5,-81.25,,,,,,,,,,,,,,,,,548145.5041931609,575639.2164504374,585993.9791038223,596958.19686637,621193.7192325024,738812.3866922711,962086.2320560268,1008091.5682395058,1020015.3136157992,977048.3829550677
24.75,-81.0,,,,,,,,,,,,,,,,,,,,525015.4508052663,548446.0119108416,670162.3830988278,893490.6281354079,928493.632657422,927731.099752278,909519.6517848528
24.75,-80.75,,,,,,,,,,,,,,,,,663166.9272559282,682054.09502412,710915.2838883075,751509.160032889,797737.9049405943,1021332.1781547832,1415507.5005138032,1442037.4779594473,1477223.5370466122,1442518.1152785807
